,fruit,stage,nir_850,nir_940,R,G,B,temp_c,humidity_pct,voc_ppm
57,watermelon,raw,0.5357,0.3763,158,87,54,18.71,91.66,0.2166
58,watermelon,raw,0.5348,0.3796,160,91,54,18.58,86.42,0.2358
59,watermelon,raw,0.5364,0.381,152,85,56,19.06,86.15,0.2541
60,watermelon,raw,0.528,0.3895,162,93,57,19.37,84.84,0.2625
61,watermelon,raw,0.5293,0.382,165,90,52,21.25,85.73,0.2564
62,watermelon,raw,0.5399,0.3885,161,87,59,20.34,85.4,0.2723
63,watermelon,raw,0.5414,0.3833,156,92,56,21.94,86.34,0.2235
64,watermelon,raw,0.5283,0.395,155,94,60,18.19,87.28,0.2514
65,watermelon,raw,0.5338,0.386,162,88,54,21.79,87.05,0.2184
66,watermelon,raw,0.5255,0.3873,154,92,57,20.92,84.91,0.2601
67,watermelon,raw,0.5336,0.3787,159,94,54,18.5,88.04,0.2344
68,watermelon,raw,0.5272,0.3884,163,85,51,19.25,86.74,0.2454
69,watermelon,raw,0.5397,0.3856,165,87,55,19.99,89.8,0.2395
70,watermelon,raw,0.5397,0.3871,151,85,50,18.88,88.36,0.2919
71,watermelon,raw,0.5319,0.3854,154,85,55,19.14,88.89,0.2239
72,watermelon,raw,0.536,0.3871,161,87,50,18.89,87.54,0.241
73,watermelon,raw,0.5261,0.3823,162,94,52,20.06,85.51,0.2388
74,watermelon,raw,0.5287,0.3882,153,91,53,18.84,87.6,0.2465
75,watermelon,raw,0.5311,0.3928,162,88,60,19.64,85.99,0.2653
76,watermelon,raw,0.5286,0.394,163,88,49,18.78,86.26,0.2557
77,watermelon,raw,0.5275,0.393,160,93,50,18.75,87.38,0.1982
78,watermelon,raw,0.526,0.3818,157,94,58,18.0,86.73,0.2593
79,watermelon,raw,0.5325,0.3976,156,80,52,20.11,88.17,0.2625
80,watermelon,raw,0.524,0.3939,160,88,50,18.71,89.11,0.2968
81,watermelon,raw,0.5247,0.389,162,91,55,18.34,86.46,0.2263
82,watermelon,raw,0.5294,0.3851,154,90,53,18.63,90.78,0.2189
83,watermelon,raw,0.537,0.3824,163,90,51,20.01,88.81,0.2456
84,watermelon,raw,0.5318,0.3826,161,90,59,18.65,87.56,0.2279
85,watermelon,raw,0.5209,0.3876,163,90,53,21.25,88.41,0.2303
86,watermelon,raw,0.5314,0.3805,159,88,56,20.24,85.68,0.237
87,watermelon,raw,0.5277,0.383,155,93,46,20.62,91.49,0.2354
88,watermelon,raw,0.5303,0.3838,154,87,55,21.55,88.04,0.2179
89,watermelon,raw,0.534,0.3805,166,92,53,19.03,88.44,0.2408
90,watermelon,raw,0.539,0.382,167,87,56,17.62,88.34,0.2574
91,watermelon,raw,0.5278,0.3877,163,98,57,19.32,87.48,0.2356
92,watermelon,raw,0.5256,0.3816,162,89,52,20.65,88.19,0.1956
93,watermelon,raw,0.5265,0.3922,165,91,51,17.96,85.19,0.2284
94,watermelon,raw,0.5196,0.388,166,85,52,17.78,90.68,0.2579
95,watermelon,raw,0.5224,0.4006,157,95,50,18.19,85.78,0.2366
96,watermelon,raw,0.5211,0.3867,163,92,53,21.29,84.36,0.2595
97,watermelon,raw,0.5226,0.3831,163,88,54,20.19,91.34,0.236
98,watermelon,raw,0.5241,0.3852,158,87,52,18.01,87.54,0.2739
99,watermelon,raw,0.5265,0.3852,164,86,51,20.38,89.6,0.2852
100,watermelon,raw,0.5195,0.3842,162,91,54,20.3,90.11,0.2681
101,watermelon,raw,0.5393,0.3887,164,90,53,21.31,87.35,0.2254
102,watermelon,raw,0.5341,0.3781,164,94,55,18.57,90.52,0.2594
103,watermelon,raw,0.5243,0.3853,155,91,56,20.49,87.49,0.2386
104,watermelon,raw,0.5336,0.3991,159,88,53,18.32,88.75,0.2655
105,watermelon,raw,0.5375,0.3951,153,89,53,17.94,89.41,0.2747
106,watermelon,raw,0.5353,0.3795,158,87,52,19.48,90.16,0.2538
107,watermelon,raw,0.5256,0.3843,156,91,50,19.58,88.03,0.2245
108,watermelon,raw,0.5235,0.3762,152,95,58,18.28,87.01,0.2745
109,watermelon,raw,0.5278,0.386,158,90,58,20.86,91.43,0.2502
110,watermelon,raw,0.5326,0.3784,159,99,57,20.92,90.27,0.2458
111,watermelon,raw,0.5295,0.3775,160,84,51,18.3,87.23,0.2279
112,watermelon,raw,0.5302,0.3821,163,93,50,18.91,85.36,0.2174
113,watermelon,raw,0.5376,0.384,162,94,45,18.74,88.14,0.2305
114,watermelon,raw,0.5204,0.3791,160,80,57,19.16,87.6,0.2697
115,watermelon,raw,0.5289,0.3908,159,88,49,18.55,86.13,0.2258
116,watermelon,raw,0.5388,0.3944,166,88,53,19.67,89.21,0.275
117,watermelon,raw,0.5303,0.3842,146,92,55,17.55,89.45,0.2348
118,watermelon,raw,0.5343,0.3893,161,90,50,19.29,90.64,0.2487
119,watermelon,raw,0.5246,0.3869,154,89,53,21.15,89.15,0.2626
120,watermelon,raw,0.5369,0.3923,161,85,56,18.87,89.36,0.2282
121,watermelon,raw,0.5328,0.3802,156,95,59,20.18,88.75,0.2641
122,watermelon,raw,0.5218,0.3757,160,95,46,20.84,90.57,0.2348
123,watermelon,raw,0.532,0.3806,157,90,55,18.26,88.54,0.234
124,watermelon,raw,0.5409,0.3757,155,93,49,17.77,90.39,0.2262
125,watermelon,raw,0.5346,0.3777,164,90,48,20.18,90.24,0.192
126,watermelon,raw,0.5415,0.3857,160,87,54,21.24,87.12,0.2167
127,watermelon,raw,0.5327,0.3913,160,90,52,19.44,84.65,0.2439
128,watermelon,raw,0.5304,0.376,165,94,52,18.2,84.88,0.2415
129,watermelon,raw,0.5325,0.386,154,91,54,19.68,88.74,0.2327
130,watermelon,raw,0.5321,0.378,157,90,62,20.59,90.6,0.2651
131,watermelon,raw,0.5258,0.3942,160,91,54,20.09,86.76,0.269
132,watermelon,raw,0.5297,0.3881,167,93,53,18.13,84.15,0.2296
133,watermelon,raw,0.5309,0.3883,158,93,62,18.66,91.4,0.2241
134,watermelon,raw,0.5336,0.3749,163,82,53,20.47,87.55,0.228
135,watermelon,raw,0.5372,0.392,154,94,56,21.46,85.74,0.2623
136,watermelon,raw,0.5281,0.3771,158,93,47,21.19,88.56,0.217
137,watermelon,raw,0.5276,0.3781,156,82,63,20.53,87.13,0.2702
138,watermelon,raw,0.5279,0.3886,160,93,53,20.15,86.13,0.2439
139,watermelon,raw,0.5246,0.387,165,84,55,20.93,86.26,0.2138
140,watermelon,raw,0.5379,0.3939,158,83,52,18.77,88.1,0.2762
141,watermelon,raw,0.5372,0.3888,158,86,50,19.49,88.28,0.2231
142,watermelon,raw,0.5269,0.376,158,85,59,21.48,89.26,0.2398
143,watermelon,raw,0.5303,0.3753,155,89,56,19.96,87.0,0.2323
144,watermelon,raw,0.524,0.3863,162,92,53,18.67,85.96,0.2169
145,watermelon,raw,0.528,0.3833,159,87,47,19.52,86.21,0.2121
146,watermelon,raw,0.5225,0.3857,162,92,56,18.61,87.72,0.2594
147,watermelon,raw,0.5333,0.3867,155,87,57,20.78,85.95,0.2055
148,watermelon,raw,0.5455,0.3863,163,93,49,20.71,85.83,0.2892
149,watermelon,raw,0.5329,0.3865,160,91,60,19.16,87.73,0.2343
150,watermelon,raw,0.548,0.4005,156,91,54,21.18,86.65,0.1973
151,watermelon,raw,0.5215,0.3799,166,94,56,19.47,88.84,0.2366
152,watermelon,raw,0.5398,0.386,163,84,55,20.37,89.12,0.2505
153,watermelon,raw,0.538,0.3904,158,90,52,21.96,87.82,0.2276
154,watermelon,raw,0.5263,0.3798,159,99,52,21.13,89.03,0.2492
155,watermelon,raw,0.5359,0.3852,159,83,56,21.82,85.48,0.2661
156,watermelon,raw,0.5346,0.3804,157,89,47,22.03,86.2,0.2083
157,watermelon,raw,0.53,0.3791,157,91,58,21.0,87.05,0.2269
158,watermelon,raw,0.5211,0.3855,159,90,52,21.5,89.62,0.2954
159,watermelon,raw,0.5305,0.3812,157,92,51,19.18,87.09,0.2745
160,watermelon,raw,0.5184,0.3865,158,85,53,20.11,86.08,0.2358
161,watermelon,raw,0.5245,0.3861,165,90,52,18.59,87.09,0.2384
162,watermelon,raw,0.5266,0.3793,162,87,49,22.53,84.9,0.2305
163,watermelon,raw,0.5336,0.3918,160,87,53,19.72,84.25,0.2673
164,watermelon,raw,0.5357,0.3676,159,86,55,22.32,84.62,0.2324
165,watermelon,raw,0.5307,0.3829,161,84,63,18.89,83.98,0.2379
166,watermelon,raw,0.5355,0.3807,166,88,56,21.07,88.75,0.1951
167,watermelon,raw,0.5231,0.3872,161,83,50,21.98,88.79,0.239
168,watermelon,raw,0.5231,0.3911,159,93,57,19.06,87.33,0.2365
169,watermelon,raw,0.5309,0.3871,152,91,56,21.66,86.01,0.2548
170,watermelon,raw,0.5256,0.3864,164,92,56,22.11,86.27,0.3217
171,watermelon,raw,0.5448,0.3912,150,87,57,18.79,84.83,0.219
172,watermelon,raw,0.529,0.3871,153,91,55,20.18,84.0,0.2194
173,watermelon,raw,0.5254,0.3801,163,83,58,19.15,88.07,0.2311
174,watermelon,raw,0.5212,0.3803,154,93,51,21.88,85.94,0.2492
175,watermelon,raw,0.5178,0.3719,157,86,55,21.72,85.53,0.2454
176,watermelon,raw,0.535,0.3849,151,88,47,21.51,88.01,0.2349
177,watermelon,raw,0.5387,0.3911,157,84,56,22.36,88.35,0.2485
178,watermelon,raw,0.539,0.3804,160,98,58,21.44,84.62,0.2258
179,watermelon,raw,0.5233,0.3885,157,95,58,20.47,88.64,0.2656
180,watermelon,raw,0.5187,0.3858,161,92,43,22.23,84.35,0.2274
181,watermelon,raw,0.5321,0.3765,156,89,52,21.87,87.0,0.248
182,watermelon,raw,0.5337,0.3861,155,87,53,19.81,85.57,0.2201
183,watermelon,raw,0.5178,0.3881,164,89,56,22.15,88.68,0.2382
184,watermelon,raw,0.5341,0.3852,160,87,55,21.87,89.4,0.2369
185,watermelon,raw,0.5292,0.377,151,95,47,19.45,83.51,0.223
186,watermelon,raw,0.5305,0.3785,161,95,56,18.78,86.54,0.2102
187,watermelon,raw,0.5311,0.3871,161,87,52,22.66,85.22,0.2381
188,watermelon,raw,0.5254,0.3896,163,91,54,18.98,87.13,0.1984
189,watermelon,raw,0.5289,0.3862,157,87,53,21.05,87.02,0.2568
190,watermelon,raw,0.5349,0.3955,154,86,56,21.46,89.85,0.222
191,watermelon,raw,0.532,0.391,158,88,52,20.54,85.68,0.2419
192,watermelon,raw,0.5216,0.3825,163,86,55,20.05,86.79,0.2195
193,watermelon,raw,0.5322,0.3884,154,86,52,22.08,85.37,0.1938
194,watermelon,raw,0.5296,0.3805,160,89,54,20.91,85.19,0.2461
195,watermelon,raw,0.551,0.3804,159,92,51,19.34,88.56,0.257
196,watermelon,raw,0.5286,0.3908,154,85,51,21.57,87.03,0.2019
197,watermelon,raw,0.5387,0.3815,159,86,57,19.78,88.48,0.2744
198,watermelon,raw,0.5328,0.3746,153,87,53,21.52,87.97,0.2322
199,watermelon,raw,0.5284,0.3728,161,95,57,20.08,87.11,0.2344
200,watermelon,fresh,0.5411,0.408,178,55,51,20.92,86.34,0.4054
201,watermelon,fresh,0.5479,0.3975,181,56,43,20.41,84.56,0.3888
202,watermelon,fresh,0.5518,0.4033,179,70,50,19.86,84.41,0.3825
203,watermelon,fresh,0.557,0.3963,179,58,47,19.5,87.84,0.2966
204,watermelon,fresh,0.5539,0.403,179,55,46,19.71,86.53,0.3687
205,watermelon,fresh,0.5449,0.3973,177,56,51,19.85,85.6,0.512
206,watermelon,fresh,0.5527,0.4012,178,59,48,20.83,87.55,0.3912
207,watermelon,fresh,0.5589,0.3993,183,60,54,20.27,85.84,0.3913
208,watermelon,fresh,0.5641,0.4007,174,63,53,19.71,87.57,0.4649
209,watermelon,fresh,0.5404,0.399,175,55,46,19.91,89.29,0.3673
210,watermelon,fresh,0.5437,0.4007,173,58,44,20.86,87.27,0.4419
211,watermelon,fresh,0.5452,0.4031,179,59,52,21.25,85.74,0.3899
212,watermelon,fresh,0.5487,0.3915,183,65,56,21.23,84.04,0.388
213,watermelon,fresh,0.5538,0.4113,173,58,45,19.28,87.54,0.3452
214,watermelon,fresh,0.5385,0.4093,180,56,45,21.47,85.92,0.3399
215,watermelon,fresh,0.5509,0.391,180,56,52,20.32,89.45,0.41
216,watermelon,fresh,0.54,0.4008,177,57,53,20.1,88.76,0.3537
217,watermelon,fresh,0.5506,0.3977,174,59,50,20.68,90.19,0.4448
218,watermelon,fresh,0.5559,0.4036,183,68,52,20.08,86.06,0.3887
219,watermelon,fresh,0.5523,0.403,186,54,50,21.08,86.37,0.4317
220,watermelon,fresh,0.5427,0.402,178,69,50,20.94,87.32,0.323
221,watermelon,fresh,0.5504,0.4012,184,55,54,21.16,85.41,0.4122
222,watermelon,fresh,0.5579,0.4033,182,62,53,19.62,90.07,0.4108
223,watermelon,fresh,0.5534,0.4004,171,57,50,20.79,86.95,0.3723
224,watermelon,fresh,0.5428,0.3998,179,56,55,21.05,90.79,0.4048
225,watermelon,fresh,0.541,0.4014,178,61,48,19.3,85.82,0.4326
226,watermelon,fresh,0.5549,0.4032,173,64,53,21.12,88.91,0.4212
227,watermelon,fresh,0.5468,0.3856,175,58,55,21.14,85.58,0.3923
228,watermelon,fresh,0.5534,0.4003,175,63,48,20.81,86.3,0.3663
229,watermelon,fresh,0.5484,0.3879,183,60,55,20.74,87.07,0.3831
230,watermelon,fresh,0.5566,0.4011,178,66,49,21.29,88.69,0.3882
231,watermelon,fresh,0.5449,0.3967,174,56,48,20.45,85.07,0.3703
232,watermelon,fresh,0.54,0.3982,182,59,44,20.69,86.7,0.4702
233,watermelon,fresh,0.5521,0.4062,173,59,52,19.82,81.43,0.3216
234,watermelon,fresh,0.5454,0.4027,188,66,53,19.84,87.12,0.3909
235,watermelon,fresh,0.5509,0.3985,180,66,50,20.51,84.3,0.4451
236,watermelon,fresh,0.5537,0.4085,186,61,45,19.76,90.08,0.4534
237,watermelon,fresh,0.547,0.4017,186,63,52,21.05,88.3,0.3098
238,watermelon,fresh,0.5542,0.4012,182,59,50,20.35,90.98,0.466
239,watermelon,fresh,0.5525,0.3906,177,54,47,19.55,87.98,0.3551
240,watermelon,fresh,0.553,0.3903,176,59,56,21.0,82.95,0.3556
241,watermelon,fresh,0.5459,0.3927,188,56,51,21.01,88.51,0.3998
242,watermelon,fresh,0.5597,0.4094,176,51,52,20.95,87.02,0.3838
243,watermelon,fresh,0.5518,0.4113,178,60,48,19.92,86.08,0.449
244,watermelon,fresh,0.5524,0.4064,176,56,47,20.19,87.03,0.3334
245,watermelon,fresh,0.546,0.4129,184,65,49,21.64,84.45,0.3741
246,watermelon,fresh,0.5544,0.4089,178,59,48,20.09,87.29,0.4545
247,watermelon,fresh,0.5538,0.3981,183,66,48,20.74,84.95,0.4097
248,watermelon,fresh,0.5436,0.3873,174,66,50,20.44,85.02,0.3969
249,watermelon,fresh,0.556,0.3969,182,54,50,21.76,88.23,0.3885
250,watermelon,fresh,0.5459,0.4,185,55,47,21.65,86.45,0.3622
251,watermelon,fresh,0.5494,0.3938,179,61,52,21.33,85.74,0.4195
252,watermelon,fresh,0.5591,0.4072,182,58,51,20.82,88.04,0.4001
253,watermelon,fresh,0.552,0.3873,178,55,48,20.26,87.94,0.4424
254,watermelon,fresh,0.5567,0.4047,180,53,56,19.66,87.04,0.4074
255,watermelon,fresh,0.5486,0.3918,178,62,49,20.65,86.92,0.3935
256,watermelon,fresh,0.5502,0.4027,183,66,48,19.96,86.75,0.4721
257,watermelon,fresh,0.5573,0.4059,177,63,42,20.35,85.42,0.3894
258,watermelon,fresh,0.5462,0.4042,181,62,48,20.97,90.45,0.4339
259,watermelon,fresh,0.5508,0.402,180,59,54,20.73,87.71,0.4187
260,watermelon,fresh,0.5483,0.3931,178,66,57,19.81,86.81,0.3499
261,watermelon,fresh,0.5465,0.405,186,54,47,19.8,87.81,0.452
262,watermelon,fresh,0.5549,0.3986,172,54,47,20.25,86.69,0.4337
263,watermelon,fresh,0.5668,0.3941,177,59,51,19.59,85.16,0.3854
264,watermelon,fresh,0.5473,0.4048,177,61,49,20.45,88.44,0.3869
265,watermelon,fresh,0.555,0.3965,180,63,47,21.11,85.28,0.4383
266,watermelon,fresh,0.5582,0.4018,178,66,51,20.62,88.72,0.4199
267,watermelon,fresh,0.5402,0.3924,174,63,42,19.87,89.58,0.3577
268,watermelon,fresh,0.5521,0.4,185,64,47,20.72,86.85,0.4194
269,watermelon,fresh,0.5584,0.4048,180,64,54,20.7,88.11,0.4079
270,watermelon,fresh,0.5503,0.4019,186,60,39,20.69,87.31,0.3635
271,watermelon,fresh,0.556,0.4038,183,59,52,20.12,86.38,0.4549
272,watermelon,fresh,0.556,0.4054,181,61,44,20.67,86.89,0.4064
273,watermelon,fresh,0.5441,0.4015,182,68,50,19.92,84.66,0.4484
274,watermelon,fresh,0.5476,0.4026,177,59,47,20.23,88.68,0.4109
275,watermelon,fresh,0.5528,0.4014,183,57,45,20.03,89.28,0.363
276,watermelon,fresh,0.5468,0.3962,180,64,44,20.08,85.25,0.3833
277,watermelon,fresh,0.5505,0.3941,173,62,52,19.62,85.05,0.3964
278,watermelon,fresh,0.5511,0.41,181,56,55,20.37,85.5,0.4752
279,watermelon,fresh,0.5374,0.3998,176,62,50,20.63,86.19,0.3851
280,watermelon,fresh,0.5492,0.3988,173,54,47,20.59,90.12,0.3994
281,watermelon,fresh,0.547,0.3808,177,61,51,20.3,91.18,0.4201
282,watermelon,fresh,0.5423,0.3982,184,61,49,19.78,87.38,0.4042
283,watermelon,fresh,0.5534,0.4047,176,54,51,20.0,87.54,0.3769
284,watermelon,fresh,0.5443,0.4015,187,51,45,19.36,89.05,0.3676
285,watermelon,fresh,0.5517,0.4205,175,57,47,19.02,89.07,0.3799
286,watermelon,fresh,0.5548,0.4009,175,63,46,19.59,88.67,0.4599
287,watermelon,fresh,0.5537,0.4059,178,62,44,18.61,89.04,0.4284
288,watermelon,fresh,0.5453,0.3973,180,63,48,19.47,86.71,0.4411
289,watermelon,fresh,0.5443,0.4028,184,57,45,18.92,89.2,0.3658
290,watermelon,fresh,0.5578,0.4003,176,60,50,19.9,87.98,0.3823
291,watermelon,fresh,0.5454,0.3931,180,65,54,19.33,84.45,0.4497
292,watermelon,fresh,0.5524,0.3945,184,61,48,19.27,86.21,0.4277
293,watermelon,fresh,0.5512,0.4078,183,59,51,18.39,90.2,0.4353
294,watermelon,fresh,0.5424,0.402,177,61,51,20.06,88.47,0.471
295,watermelon,fresh,0.5454,0.4047,180,61,51,19.92,86.39,0.3512
296,watermelon,fresh,0.55,0.3977,179,52,52,18.94,84.91,0.4412
297,watermelon,fresh,0.5566,0.3975,172,60,51,19.3,91.65,0.5186
298,watermelon,fresh,0.5497,0.4006,181,54,47,20.24,85.45,0.3979
299,watermelon,fresh,0.5437,0.4051,177,59,44,19.7,91.67,0.4535
300,watermelon,fresh,0.5483,0.4,179,55,51,20.08,88.31,0.3981
301,watermelon,fresh,0.5492,0.4012,185,61,48,18.95,91.15,0.3896
302,watermelon,fresh,0.5424,0.4128,174,56,53,18.64,87.97,0.3995
303,watermelon,fresh,0.5628,0.4045,181,60,48,19.55,87.95,0.3792
304,watermelon,fresh,0.5507,0.3929,177,64,47,18.55,87.01,0.2991
305,watermelon,fresh,0.54,0.3973,181,60,45,20.0,88.69,0.335
306,watermelon,fresh,0.5402,0.3996,178,61,47,19.11,85.41,0.4097
307,watermelon,fresh,0.5444,0.4004,177,56,50,19.72,90.47,0.3214
308,watermelon,fresh,0.5515,0.3972,173,68,47,19.11,88.73,0.4345
309,watermelon,fresh,0.5545,0.3954,177,59,41,18.57,88.63,0.3509
310,watermelon,fresh,0.5464,0.3855,177,52,49,20.07,89.45,0.3806
311,watermelon,fresh,0.5429,0.4059,175,60,48,20.22,88.79,0.3877
312,watermelon,fresh,0.5535,0.4093,177,60,49,20.17,86.52,0.4051
313,watermelon,fresh,0.5426,0.3997,189,57,46,18.68,85.86,0.4573
314,watermelon,fresh,0.5576,0.3948,174,65,54,18.19,89.9,0.3756
315,watermelon,fresh,0.5485,0.3929,179,53,47,19.67,90.38,0.3863
316,watermelon,fresh,0.5502,0.3924,180,66,50,18.79,87.29,0.3665
317,watermelon,fresh,0.5529,0.4002,182,65,51,20.14,87.48,0.3737
318,watermelon,fresh,0.5545,0.3984,183,62,55,19.77,84.26,0.399
319,watermelon,fresh,0.5495,0.3964,187,55,47,18.42,89.54,0.3834
320,watermelon,fresh,0.5536,0.407,179,62,48,18.54,88.7,0.4255
321,watermelon,fresh,0.5499,0.3999,181,57,53,19.25,87.05,0.2948
322,watermelon,fresh,0.555,0.395,179,58,46,19.72,90.52,0.4202
323,watermelon,fresh,0.549,0.4005,181,57,43,18.74,86.06,0.4105
324,watermelon,fresh,0.5551,0.3978,183,59,47,18.82,88.4,0.3834
325,watermelon,fresh,0.5526,0.405,184,61,51,18.54,90.01,0.4126
326,watermelon,fresh,0.5578,0.3935,183,56,52,20.86,88.48,0.3664
327,watermelon,fresh,0.5415,0.3957,183,61,39,19.65,87.33,0.3585
328,watermelon,fresh,0.5583,0.3931,181,54,53,19.21,87.01,0.3621
329,watermelon,fresh,0.5562,0.3986,174,56,49,19.19,88.96,0.4428
330,watermelon,fresh,0.5531,0.3942,170,60,54,19.69,87.28,0.3997
331,watermelon,fresh,0.5469,0.4112,177,60,55,19.64,84.67,0.4078
332,watermelon,fresh,0.549,0.3949,182,57,56,19.03,88.1,0.4427
333,watermelon,fresh,0.5465,0.4029,187,59,44,20.25,86.34,0.4227
334,watermelon,fresh,0.5478,0.3918,181,57,47,20.78,88.52,0.3911
335,watermelon,fresh,0.5463,0.3951,180,60,46,20.53,91.31,0.3793
336,watermelon,fresh,0.5438,0.3889,183,55,45,19.68,85.8,0.3949
337,watermelon,fresh,0.5439,0.3968,178,55,51,19.52,87.32,0.4021
338,watermelon,fresh,0.5424,0.3983,177,62,45,18.86,87.48,0.5126
339,watermelon,fresh,0.546,0.3983,186,66,46,19.49,86.09,0.3954
340,watermelon,fresh,0.5523,0.3998,184,58,48,20.88,89.46,0.3828
341,watermelon,fresh,0.538,0.3944,178,60,50,19.53,87.57,0.4416
342,watermelon,fresh,0.5491,0.3871,180,65,48,21.1,86.54,0.3524
343,watermelon,fresh,0.551,0.3894,181,64,49,19.35,89.23,0.3839
344,watermelon,fresh,0.5589,0.3978,183,60,49,19.58,87.32,0.3667
345,watermelon,fresh,0.5543,0.4048,173,63,54,20.06,89.3,0.3721
346,watermelon,fresh,0.5602,0.4019,179,58,51,20.04,90.42,0.3625
347,watermelon,fresh,0.5431,0.3887,180,57,58,20.42,86.29,0.474
348,watermelon,fresh,0.5514,0.408,184,54,49,20.02,83.97,0.3921
349,watermelon,fresh,0.5529,0.3908,184,63,48,20.72,89.42,0.3865
350,watermelon,fresh,0.5542,0.3987,180,59,48,19.6,86.52,0.493
351,watermelon,fresh,0.5612,0.4077,177,52,54,20.3,89.72,0.4298
352,watermelon,fresh,0.5511,0.4012,185,56,51,20.5,85.69,0.3829
353,watermelon,fresh,0.5439,0.4017,178,54,47,20.73,85.42,0.4085
354,watermelon,fresh,0.5501,0.4049,179,60,41,20.94,90.01,0.4125
